symbol,name,entry_price,stop_price,target_price,stop_pct,target_pct,last_price,drift_pct,stale,rsi,adx,atr
UAL,United Airlines,111.19,105.10682569947983,123.35634860104032,-0.05470972480007352,0.10941944960014682,114.02,0.025451929130317463,True,48.37123070063615,20.05969894632448,4.055449533680108
LIND,Lindblad Expeditions,27.58,25.650346434135404,31.439307131729187,-0.06996568404150094,0.13993136808300188,28.3,0.026105873821610004,True,47.95669555446207,23.452455233207413,1.2864357105763968
ICHR,Ichor Holdings,56.47,51.06859739365089,67.27280521269822,-0.09565083418362152,0.19130166836724305,57.95,0.026208606339649387,True,46.30969523381447,20.90133541194279,3.6009350708994075
FFBC,First Financial Bancorp,31.55,30.703595951405,33.24280809719001,-0.026827386643264672,0.05365477328652957,32.4,0.02694136291600624,True,36.32003721276801,29.520657966207086,0.5642693657300012
APTV,Aptiv,43.58,41.29407446906714,48.15185106186571,-0.052453545914016964,0.10490709182803393,44.79,0.027765029830197463,True,38.66700473368875,28.616560775390916,1.5239503539552395
POWI,Power Integrations,50.78,46.86635473968901,58.60729052062199,-0.07707060378714048,0.15414120757428096,52.22,0.028357621110673525,True,43.91880920493321,29.2513383373132,2.6090968402073282
AKAM,Akamai,110.41,101.84557330507762,127.53885338984475,-0.07756930255341343,0.15513860510682687,113.6014,0.028904990489991844,True,49.24723291286993,25.09085989359727,5.709617796614915
ESI,Element Solutions,34.5,32.40813547414189,38.683729051716206,-0.06063375437269869,0.12126750874539738,35.71,0.0350724637681159,True,47.86383170629263,24.67999561314869,1.3945763505720692
RVMD,Revolution Medicines,199.86,188.32541409092724,222.92917181814556,-0.057713328875576786,0.11542665775115357,207.01,0.035775042529770706,True,49.03202250666019,23.2948135367615,7.689723939381852
TT,Trane Technologies,438.54,422.6826253011483,470.25474939770356,-0.03615947165333089,0.072318943306662,454.44,0.03625666985907783,True,45.976097558126355,28.87695588444481,10.571583132567838
AAL,American Airlines,13.35,12.656182183286917,14.737635633426164,-0.05197137203843316,0.10394274407686632,13.89,0.040449438202247334,True,46.89610168261035,27.496570196753094,0.46254521114205455
GFS,GlobalFoundries,47.05,43.869388333096026,53.411223333807946,-0.06760067304790585,0.13520134609581191,49.07,0.0429330499468652,True,48.933610448253546,20.95194726726594,2.120407777935983
PYPL,PayPal,52.6,50.23105598979676,57.33788802040649,-0.045036958368882996,0.09007391673776599,55.3,0.05133079847908739,True,40.7742080523404,23.73742684713618,1.5792960068021622
ON,ON Semiconductor,73.15,67.91944356063937,83.61111287872129,-0.07150453095503262,0.14300906191006524,77.25,0.05604921394395079,True,48.04155436070067,20.85892774131676,3.4870376262404266
ALGM,Allegro MicroSystems,35.13,32.407096847235444,40.57580630552912,-0.07750934109776708,0.15501868219553416,37.24,0.060062624537432274,True,42.554659962112254,24.89160163993703,1.8152687685097069
