begins_at,open,high,low,close
2025-11-24 16:00:00+00:00,666.54,669.75,666.54,668.31
2025-11-24 20:00:00+00:00,668.31,670.06,668.29,669.1208
2025-11-25 16:00:00+00:00,669.8,674.375,669.03,673.94
2025-11-25 20:00:00+00:00,675.1,675.2,675.02,675.14
2025-11-26 16:00:00+00:00,679.56,681.7,679.56,680.86
2025-11-26 20:00:00+00:00,680.87,681.58,679.62,680.11
2025-11-28 16:00:00+00:00,682.46,683.96,681.65,683.6321
2025-12-01 16:00:00+00:00,681.6918,682.965,679.82,680.205
2025-12-01 20:00:00+00:00,680.2,681.06,679.375,680.0
2025-12-02 16:00:00+00:00,683.51,683.82,679.3275,682.335
2025-12-02 20:00:00+00:00,682.36,682.88,681.37,682.2431
2025-12-03 16:00:00+00:00,682.32,684.74,681.62,684.625
2025-12-03 20:00:00+00:00,684.63,684.91,683.55,683.84
2025-12-04 16:00:00+00:00,683.28,684.77,681.34,683.23
2025-12-04 20:00:00+00:00,683.22,684.66,682.31,684.02
2025-12-05 16:00:00+00:00,686.67,687.12,684.88,686.25
2025-12-05 20:00:00+00:00,686.26,686.3,684.6,685.82
2025-12-08 16:00:00+00:00,683.7,684.3,681.57,682.33
2025-12-08 20:00:00+00:00,682.34,684.86,682.06,684.84
2025-12-09 16:00:00+00:00,684.49,685.385,683.37,683.63
2025-12-09 20:00:00+00:00,683.63,683.8526,682.51,682.82
2025-12-10 16:00:00+00:00,682.25,688.05,681.45,687.88
2025-12-10 20:00:00+00:00,687.89,688.97,686.35,686.6
2025-12-11 16:00:00+00:00,685.74,689.25,684.54,688.83
2025-12-11 20:00:00+00:00,688.83,691.0,687.99,688.75
2025-12-12 16:00:00+00:00,681.7,684.34,679.1744,681.9699
2025-12-12 20:00:00+00:00,681.96,682.515,680.07,681.95
2025-12-15 16:00:00+00:00,681.14,683.06,679.425,681.69
2025-12-15 20:00:00+00:00,681.69,681.74,679.93,680.39
2025-12-16 16:00:00+00:00,679.08,679.11,674.98,678.12
2025-12-16 20:00:00+00:00,678.41,678.76,678.31,678.36
2025-12-17 16:00:00+00:00,674.55,675.695,672.055,673.13
2025-12-17 20:00:00+00:00,673.12,673.32,671.195,671.88
2025-12-18 16:00:00+00:00,676.53,679.09,676.43,678.85
2025-12-18 20:00:00+00:00,675.71,678.55,675.45,676.26
2025-12-19 16:00:00+00:00,678.96,681.09,678.56,680.59
2025-12-19 20:00:00+00:00,680.59,681.36,679.61,681.2701
2025-12-22 16:00:00+00:00,684.6,684.635,684.52,684.565
2025-12-22 20:00:00+00:00,684.79,685.1499,684.61,684.9214
2025-12-23 16:00:00+00:00,686.33,687.92,686.255,687.835
2025-12-23 20:00:00+00:00,687.835,688.2,687.45,687.5718
2025-12-24 16:00:00+00:00,689.47,690.83,689.3799,690.0101
2025-12-26 16:00:00+00:00,690.82,690.96,689.27,690.155
2025-12-26 20:00:00+00:00,690.15,690.4905,689.94,690.09
2025-12-29 16:00:00+00:00,687.35,688.46,686.07,688.2908
2025-12-29 20:00:00+00:00,688.3,688.62,687.4,687.48
2025-12-30 16:00:00+00:00,687.6,688.23,686.87,687.56
2025-12-30 20:00:00+00:00,687.56,687.815,686.45,686.72
2025-12-31 16:00:00+00:00,684.32,686.06,684.04,684.14
2025-12-31 20:00:00+00:00,684.14,684.19,681.71,682.65
2026-01-02 16:00:00+00:00,681.46,683.94,679.82,683.13
2026-01-02 20:00:00+00:00,683.13,683.69,682.07,682.7
2026-01-05 16:00:00+00:00,688.32,689.25,687.3,687.6198
2026-01-05 20:00:00+00:00,687.61,688.24,687.215,687.41
2026-01-06 16:00:00+00:00,689.1,692.165,688.62,691.875
2026-01-06 20:00:00+00:00,691.875,692.315,687.86,691.84
2026-01-07 16:00:00+00:00,692.51,693.96,691.45,691.74
2026-01-07 20:00:00+00:00,691.74,692.17,689.14,689.7302
2026-01-08 16:00:00+00:00,689.85,690.61,688.28,688.87
2026-01-08 20:00:00+00:00,688.85,691.06,688.73,689.681
2026-01-09 16:00:00+00:00,691.95,695.23,691.93,694.8999
2026-01-09 20:00:00+00:00,694.89,695.31,689.6022,694.3396
2026-01-12 16:00:00+00:00,693.915,696.03,693.66,695.945
2026-01-12 20:00:00+00:00,695.945,696.09,694.21,694.25
2026-01-13 16:00:00+00:00,693.765,695.2,692.23,692.92
2026-01-13 20:00:00+00:00,692.92,694.04,691.73,693.3894
2026-01-14 16:00:00+00:00,687.17,689.47,686.13,688.06
2026-01-14 20:00:00+00:00,688.05,690.65,687.32,689.62
2026-01-15 16:00:00+00:00,694.45,695.45,692.58,692.775
2026-01-15 20:00:00+00:00,692.62,693.03,691.25,692.7
2026-01-16 16:00:00+00:00,691.855,693.47,691.555,692.665
2026-01-16 20:00:00+00:00,692.66,692.87,691.3,691.9101
2026-01-20 16:00:00+00:00,683.81,684.56,677.29,677.83
2026-01-20 20:00:00+00:00,677.85,678.67,676.57,677.4502
2026-01-21 16:00:00+00:00,684.73,684.84,684.05,684.29
2026-01-21 20:00:00+00:00,688.47,688.735,684.63,686.74
2026-01-22 16:00:00+00:00,690.34,690.558,689.94,690.15
2026-01-22 20:00:00+00:00,688.76,689.51,687.595,688.4288
2026-01-23 16:00:00+00:00,690.475,690.96,687.73,689.51
2026-01-23 20:00:00+00:00,689.405,689.61,687.85,688.3224
2026-01-26 16:00:00+00:00,692.98,694.13,692.39,693.61
2026-01-26 20:00:00+00:00,693.6,693.87,691.88,692.6919
2026-01-27 16:00:00+00:00,696.0,696.53,694.91,696.075
2026-01-27 20:00:00+00:00,696.07,696.4,695.25,695.95
2026-01-28 16:00:00+00:00,695.55,696.33,693.94,694.91
2026-01-28 20:00:00+00:00,694.91,696.285,692.5,695.3
2026-01-29 16:00:00+00:00,686.07,692.225,684.83,691.135
2026-01-29 20:00:00+00:00,691.13,695.19,691.045,693.68
2026-01-30 16:00:00+00:00,692.1201,692.7,687.12,690.565
2026-01-30 20:00:00+00:00,690.575,692.8262,689.3,690.46
2026-02-02 16:00:00+00:00,694.72,696.93,693.92,695.52
2026-02-02 20:00:00+00:00,695.52,697.3,694.96,696.74
2026-02-03 16:00:00+00:00,693.14,693.19,684.03,686.84
2026-02-03 20:00:00+00:00,686.82,689.87,686.28,689.65
2026-02-04 16:00:00+00:00,688.61,688.9,681.76,688.27
2026-02-04 20:00:00+00:00,688.27,689.73,685.641,687.0438
2026-02-05 16:00:00+00:00,677.35,682.615,675.79,679.09
2026-02-05 20:00:00+00:00,679.09,680.895,672.18,672.7813
2026-02-06 16:00:00+00:00,686.61,689.76,686.565,689.34
2026-02-06 20:00:00+00:00,689.34,692.3099,689.11,690.2
2026-02-09 16:00:00+00:00,694.23,695.87,693.57,695.42
2026-02-09 20:00:00+00:00,695.42,695.72,693.5,693.7
2026-02-10 16:00:00+00:00,695.42,695.8,692.85,693.7899
2026-02-10 20:00:00+00:00,693.76,693.993,691.66,693.38
2026-02-11 16:00:00+00:00,692.33,693.99,691.38,693.0435
2026-02-11 20:00:00+00:00,692.91,693.1,691.3405,691.84
2026-02-12 16:00:00+00:00,688.66,688.76,682.48,685.16
2026-02-12 20:00:00+00:00,685.19,685.53,680.38,682.4
2026-02-13 16:00:00+00:00,685.12,685.93,684.37,684.45
2026-02-13 20:00:00+00:00,681.2554,681.81,681.09,681.75
2026-02-17 16:00:00+00:00,678.56,684.94,678.45,683.57
2026-02-17 20:00:00+00:00,683.57,684.1,681.51,681.609
2026-02-18 16:00:00+00:00,688.53,688.8,684.05,684.59
2026-02-18 20:00:00+00:00,684.6,687.18,683.92,686.12
2026-02-19 16:00:00+00:00,685.32,685.83,681.5475,682.56
2026-02-19 20:00:00+00:00,682.53,685.0,682.5201,684.7
2026-02-20 16:00:00+00:00,688.82,689.48,684.08,688.04
2026-02-20 20:00:00+00:00,688.06,689.78,688.005,689.57
2026-02-23 16:00:00+00:00,681.05,683.95,680.371,681.06
2026-02-23 20:00:00+00:00,681.06,683.41,680.65,682.75
2026-02-24 16:00:00+00:00,685.38,688.1,685.15,687.135
2026-02-24 20:00:00+00:00,687.1899,688.35,686.46,687.55
2026-02-25 16:00:00+00:00,690.83,693.32,690.69,693.085
2026-02-25 20:00:00+00:00,693.085,695.25,691.42,692.0497
2026-02-26 16:00:00+00:00,687.72,689.66,684.74,689.02
2026-02-26 20:00:00+00:00,689.01,689.81,685.56,686.41
2026-02-27 16:00:00+00:00,685.24,686.2899,682.99,683.36
2026-02-27 20:00:00+00:00,683.32,686.1,683.32,684.1155
2026-03-02 16:00:00+00:00,684.19,688.62,682.92,688.42
2026-03-02 20:00:00+00:00,688.19,688.32,684.71,685.2283
2026-03-03 16:00:00+00:00,671.96,682.61,671.75,681.233
2026-03-03 20:00:00+00:00,681.24,681.95,676.6788,678.7099
2026-03-04 16:00:00+00:00,685.86,687.09,684.29,686.7799
